ChEMBL_ID,SMILES,pIC50
CHEMBL4089264,CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,6.23
CHEMBL3770206,COc1cccc(C(=O)N2c3ccccc3Sc3ccc(Cl)cc32)c1,5.34
CHEMBL382260,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,9.19
CHEMBL409854,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C(=O)/C=C/c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,4.71
CHEMBL4639357,COc1cccc(C2C([N+](=O)[O-])C(Cc3c[nH]cn3)NC23c2ccccc2-c2nc4ccccc4nc23)c1,5.04
CHEMBL1669484,[Br-].[Br-].c1ccc2c[n+](CCCCCC[n+]3ccc4ccccc4c3)ccc2c1,6.52
CHEMBL4527729,COc1cc(CN2CCC(CCC(=O)c3cc(Cl)c(N)cc3OC)CC2)ccc1O,6.27
CHEMBL4515376,Nc1cccc(Cl)c1Oc1ccc(CNc2ccc(O)cc2)cc1,5.05
CHEMBL4648224,O=[N+]([O-])C1C(Cc2c[nH]cn2)NC2(c3ccccc3-c3nc4ccccc4nc32)C1c1ccc(Br)cc1,4.79
CHEMBL4642244,COc1ccc(C2C([N+](=O)[O-])C(Cc3c[nH]cn3)NC23c2ccccc2-c2nc4ccccc4nc23)cc1,5.69
CHEMBL4061746,CC(=O)Nc1nc(NCc2ccccc2)c2ccccc2n1,5.12
CHEMBL4079345,CCNc1nc(NCc2ccccc2)c2ccccc2n1,5.12
CHEMBL4067481,c1ccc(CNc2nc(NC3CC3)nc3ccccc23)cc1,5.18
CHEMBL4102655,CCCNc1nc(NCCc2ccc(OC)c(OC)c2)c2ccccc2n1,5.16
CHEMBL4064773,CNc1nc(NCCc2ccccc2)c2ccccc2n1,5.06
CHEMBL4100046,COc1ccc(CNc2nc(CC(N)=O)nc3ccccc23)cc1OC,5.13
CHEMBL3116289,CCCCCn1nc(OCc2ccc(OC)cc2)c2cc([N+](=O)[O-])ccc21,5.01
CHEMBL1973869,O=[N+]([O-])c1ccc2c(c1)c(OCc1ccccc1)nn2Cc1ccccc1,5.14
CHEMBL3759013,CC[C@H]1O[C@@H]2O[C@H](/C=C/C=C/C=C/c3oc(=O)cc(OC/C=C(\C)C(=O)OC)c3C)[C@H](O)[C@]2(C)[C@@]1(C)O,4.83
CHEMBL3764488,N#CC1=C(N)N2CCCNC2=C([N+](=O)[O-])C12C(=O)c1ccc(Br)c3c(Br)ccc2c13,5.17
CHEMBL3115027,O=c1c2ccccc2[se]n1-c1ccc(CN2CCCCC2)cc1,4.96
CHEMBL3122169,CCNCc1ccc2nc(-c3cccnc3)c3c(c2c1)NCCC3,4.8
CHEMBL3122168,CCNCc1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,6.25
CHEMBL3122170,CCOC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)N(Cc1ccccc1)C(=O)CC3,5.38
CHEMBL3827189,CN(CCCOc1ccc2cc(-c3ccc(Cl)cc3)c(=O)oc2c1)Cc1cccc(OC(=O)NCCCCCc2ccccc2)c1,6.05
CHEMBL3827284,CCCCCCCNC(=O)Oc1cccc(Cn2cc(COc3ccc4ccc(=O)oc4c3)nn2)c1,5.98
CHEMBL3827765,CCCCCCc1ccc(NC(=O)Oc2cccc(CN(C)CCCOc3ccc4ccc(=O)oc4c3)c2)cc1,5.42
CHEMBL4208961,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccccc4Br)cc3)ccc12.[Br-],7.11
CHEMBL4216807,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc([N+](=O)[O-])cc4)cc3)ccc12.[Br-],5.97
CHEMBL3581580,C/C(=C\C[C@]12C[C@H]3C[C@@H]4C(C)(C)CC[C@@]4(C1=O)C(=O)[C@](C(=O)c1ccccc1)(C2=O)C3(C)C)CC/C=C/C(C)C,5.01
CHEMBL3586593,Cc1cc2ccc(OCc3ccc(CN(C)Cc4ccccc4)cc3)cc2oc1=O.Cl,6.3
CHEMBL3961494,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(C(F)(F)F)c3)CC1)C2,5.67
CHEMBL3973337,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(Br)n3)CC1)C2,5.7
CHEMBL419470,C[C@@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,7.66
CHEMBL3752974,CC(C)NCc1cccc2[nH]c3ccccc3c12,4.75
CHEMBL4277095,CCN(CC)CCOc1ccc(/C=C2\COc3ccccc3C2=O)cc1,5.48
CHEMBL1257997,CCNc1c2c(nc3ccc(OC)cc13)CCCC2.Cl,4.18
CHEMBL460969,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,4.62
CHEMBL2297277,CC(C)=CCC/C(C)=C/Cc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)c(O)cc1O,4.79
CHEMBL3343923,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,6.8
CHEMBL4071803,CN1CC2C(=O)N(c3ccc(F)cc3)C(=O)C2C12C(=O)c1ccccc1C2=O,4.3
CHEMBL87849,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC,8.59
CHEMBL435373,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,5.7
CHEMBL80247,CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CCNC12,7.86
CHEMBL303574,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,5.12
CHEMBL3417004,COc1cc(N)c(Cl)cc1/C(CCC1CCN(CC2CCCCC2)CC1)=N/O,7.62
CHEMBL3769811,O=C(Cc1ccccc1)N1c2ccccc2[Se]c2ccccc21,5.19
CHEMBL3597004,COC(=O)C1=C(Nc2ccc(C)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(C)cc2)[C@@H]1c1ccc(C)cc1,5.17
CHEMBL3597063,COC(=O)C1=C(Nc2ccc(Br)cc2)C[C@@H](c2ccc(Cl)cc2)N(c2ccc(Br)cc2)[C@@H]1c1ccc(Cl)cc1,6.06
CHEMBL4174269,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cc(N)c4ccccc4n3)CC1)C2,6.15
CHEMBL2088783,N#Cc1cc(C#N)c(NC2CCN(Cc3ccccc3)CC2)nc1N,5.51
CHEMBL4216066,COc1cc(/C=C/C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1O,7.19
CHEMBL4098132,COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCCCCCN1CCCCC1,5.38
CHEMBL3785391,CN(C)C(=O)NC1CCc2cc(O)ccc2C1,8.14
CHEMBL2147460,CN(C)c1ccccc1CNCCCCCCCNc1c2c(nc3ccccc13)CCCC2,8.29
CHEMBL4077169,CN1c2ccccc2C(N2CCOCC2)c2ccccc21,4.91
CHEMBL4075624,CN1c2ccccc2C(n2cnc([N+](=O)[O-])n2)c2ccccc21,4.78
CHEMBL490360,COc1ccc(C(=O)c2ccc(CN(C)Cc3cccc([N+](=O)[O-])c3)cc2)cc1OC,5.37
CHEMBL3763417,N#CC1=C(N)N(Cc2ccccc2)C(NCc2ccccc2)=C([N+](=O)[O-])C12C(=O)c1cccc3cccc2c13,5.22
CHEMBL3763232,CC1(C)CNC2=C([N+](=O)[O-])C3(C(=O)Nc4ccc(F)cc43)C(C#N)=C(N)N2C1,5.97
CHEMBL3764100,Cc1ccc2c(c1)C1(C(=O)N2)C(C#N)=C(N)N2CCCNC2=C1[N+](=O)[O-],6.03
CHEMBL3764679,Cc1ccc2c(c1)C1(C(=O)N2)C(C#N)=C(N)N2CCNC2=C1[N+](=O)[O-],5.41
CHEMBL4648322,COc1cc2cc(NC(=O)[C@@H]3CCC[C@H](NCc4ccccc4)C3)c(=O)oc2cc1OC,7.72
CHEMBL1773481,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(NC(=O)CCCCN3CCCCC3)cc2)cc1,6.66
CHEMBL1773489,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OCCCCCCN3CCCCC3)cc2)cc1,6.68
CHEMBL1773490,CCN(CC)CCCCCCCOc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1,6.09
CHEMBL1773491,CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OCCCCCCCN3CCCCC3)cc2)cc1,6.96
CHEMBL4520782,COc1ccc(/C=N/c2ccc3oc(=O)ccc3c2)cc1,6.87
CHEMBL2018161,COc1ccc2c(ccc[n+]2Cc2ccccc2)c1.[I-],5.28
CHEMBL1834061,CC(C)C1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,4.78
CHEMBL1834074,c1ccc(C(Nc2ccnc(N3CCN(C4CCCCC4)CC3)n2)c2ccccc2)cc1,5.0
CHEMBL4795569,CC(C)c1ccc(NC(=O)OCC2CCN(Cc3ccccc3)CC2)cc1,5.65
CHEMBL4796414,COc1cc(/C=C/C(=O)NCC(=O)Nc2ccccc2F)ccc1O,4.76
CHEMBL1952060,Cl.O/N=C/C1=NCCN1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,4.07
CHEMBL1952063,Cl.O/N=C/C1=NCCCN1Cc1ccccc1,4.55
CHEMBL3968230,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cccc(F)c1)CC(C)(C)CC3,5.74
CHEMBL3911730,CCOC(=O)C1=C(C)N(C)c2nc3c(c(N)c2C1c1ccccc1Cl)CC(C)(C)CC3,5.73
CHEMBL4209795,COc1cc(/C=C/C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OCc1nc(C)c(C)nc1C,6.96
CHEMBL12858,CN(C)Cc1ccc(CSCCNC(=NC#N)NCCSCc2ccc(CN(C)C)o2)o1,6.54
CHEMBL361165,COc1ccccc1CN(C)CCCN(C)CCCNCCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,6.02
CHEMBL2064469,CCN(CCCN1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1,6.71
CHEMBL187603,COc1cc2c(cc1OC)SC(C(=O)CC(O)C1CC[N+](C)(Cc3ccccc3)CC1)C2,6.72
CHEMBL3902616,COc1cccc([N+]2=Cc3c(cccc3OC)CC2)c1.[Br-],5.28
CHEMBL13045,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,5.84
CHEMBL161880,Clc1cccc2c1CN1CCCCCC1=N2,5.77
CHEMBL142491,CCC1=CC2Cc3nc4cccc(F)c4c(N)c3C(C1)C2,7.53
CHEMBL4159074,Oc1ccc(-c2oc3cc(O)c4c5c3c2-c2cc(O)cc(O)c2[C@H](c2ccc(O)cc2)[C@@H]5[C@H](c2ccc(O)cc2)[C@@H]4c2cc(O)cc(O)c2)cc1,5.08
CHEMBL575802,COc1cc2c(cc1OC)C(c1cccc([N+](=O)[O-])c1)N(CCCCCCc1cn(CCNc3c4c(nc5cc(Cl)ccc35)CC3C=C(C)CC4C3)nn1)CC2,8.4
CHEMBL3289943,CN(C)c1ccc(/C=C/C(=O)C2CCc3ccccc3C2=O)cc1,4.4
CHEMBL1784957,C[C@@H](Cc1ccccc1)NC(=O)Oc1cccc([C@H](C)N(C)C)c1.Cl,6.29
CHEMBL1784955,C[C@@H](c1cccc(OC(=O)N(C)[C@@H](C)Cc2ccccc2)c1)N(C)C.Cl,6.88
CHEMBL3289929,CCOC(OCC)c1ccc(/C=C/C(=O)/C=C/c2ccc(C(OCC)OCC)cc2)cc1,4.26
CHEMBL1819173,c1ccc2c(NCCCCCCCCCCN3CCOCC3)c3c(nc2c1)CCCC3,7.55
CHEMBL2377876,Fc1ccc(Cc2nnc3sc(-c4ccoc4)nn23)cc1,5.75
CHEMBL1161717,C=C1c2ccc(Cl)cc2N=C2CCCCCN12,6.8
CHEMBL3642047,CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCNc3c4c(nc5ccccc35)CCCC4)cc12,6.42
CHEMBL188274,CNC(=O)Oc1cccc(C(C)N(C)C)c1.Cl,7.0
CHEMBL3581572,CCC(C)C(=O)[C@]12C(=O)[C@]3(CC=C(C)C)C[C@H](CC=C(C)C)[C@@]1(C)CC[C@@H](C(C)(C)O)OC2=C(CC=C(C)C)C3=O,4.43
CHEMBL424984,COc1ccc(-c2cc3c(c(=O)o2)C[C@@]2(O)[C@@]4(C)C=CC(=O)C(C)(C)[C@@]4(O)CC[C@@]2(C)O3)cc1,7.05
CHEMBL1766147,[O-][S+]1CCN(c2nccc(NCc3ccccc3)n2)CC1,4.9
CHEMBL32453,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@@H]1CCN(CC)C1C2,6.42
CHEMBL3582207,N#Cc1cc2c(cn1)[nH]c1ncc(-c3ccc(CN4CCC(O)CC4)cc3)cc12,6.42
CHEMBL2019053,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1,10.05
CHEMBL2019047,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,8.64
CHEMBL4064846,CCN(CC)CCOc1ccc(/C=C/C(=O)Nc2ccccc2)cc1OC,4.39
CHEMBL4070471,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3ccc([N+](=O)[O-])cc3)cc1)C2.[Br-],7.22
CHEMBL4744490,CCN(C)C(=O)Oc1cccc(CNCCc2c[nH]c3cc(F)ccc23)c1,4.78
CHEMBL4071110,Cc1cc(-c2c3ccccc3[n+](C)c3ccccc23)cc(C)c1C.F[B-](F)(F)F,4.22
CHEMBL4093947,CCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1,6.07
CHEMBL4059766,CCOC(=O)[C@@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1,6.3
CHEMBL4070093,CN1CCN(c2ccc(/C=C/c3ccc4ccccc4[n+]3C)cc2)CC1.[I-],5.85
CHEMBL3628059,Cc1cccc(C[n+]2ccc(C(=O)NCCc3c[nH]c4ccccc34)cc2)c1.[Br-],5.57
CHEMBL3628064,COc1ccc2[nH]cc(CCNC(=O)c3cc[n+](Cc4ccc(F)cc4)cc3)c2c1.[Br-],5.29
CHEMBL4750451,O=C(CCCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,7.97
CHEMBL4765163,CCn1cc(CNCc2c[nH]nc2-c2ccc(-c3ccccc3)cc2)cn1,6.46
CHEMBL2047231,COc1cc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc(OC)c1OC,4.99
CHEMBL2047226,Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,5.0
CHEMBL2047225,Clc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,5.06
CHEMBL2047224,Clc1cccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)c1,5.11
CHEMBL2047528,CN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC(=O)NCCCCCc2ccccc2)c1,7.13
CHEMBL2047530,CN(CCCOc1ccc2c(=O)c3cccnc3oc2c1)Cc1cccc(OC(=O)NCCCCCc2ccccc2)c1,7.05
CHEMBL4125708,C=C(C)[C@H](O)CC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C1=C2O[C@H](C(C)(C)O)C1,4.58
CHEMBL229334,CC1=C[C@H]2[C@H](O)C(=O)[C@H]3CCCN4CCC[C@H]2[C@]34C1,4.78
CHEMBL4848417,Cl.Nc1c2c(nc3ccc(F)cc13)CCCC2,6.01
CHEMBL4856125,Cc1cccc2nc3c(c(N)c12)CCCCC3.Cl,6.59
CHEMBL4847987,CCOC(=O)/C(=N\Nc1ccccc1C(=O)OCC)C(=O)C(F)(F)F,6.32
CHEMBL3263731,CN(Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1)Cc1cccc(Cl)c1,5.29
CHEMBL3263734,COc1ccccc1CN(C)Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1,5.33
CHEMBL4532806,Cc1ccc(-c2nc(NCC3CCN(Cc4cc(F)cc(F)c4)CC3)sc2-c2ccc(C)cc2)cc1,6.52
CHEMBL4520251,COc1ccc(-c2nc(NC(=O)C3CCN(Cc4ccc(F)cc4)CC3)sc2-c2ccc(OC)cc2)cc1,5.94
CHEMBL4529976,O=C(Nc1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)s1)C1CCN(Cc2ccc(F)cc2Cl)CC1,5.43
CHEMBL4544950,COc1ccc(-c2nc(NC3CCN(Cc4ccc(C(F)(F)F)cc4)CC3)sc2-c2ccc(OC)cc2)cc1,6.12
CHEMBL4750360,CCN(C)C(=O)Oc1ccc(/C=C/C(=O)N2CCN(Cc3ccccc3)CC2)cc1,4.83
CHEMBL4527101,COc1ccc(-c2nc(NC(=O)C3CCN(Cc4ccccc4C(F)(F)F)CC3)sc2-c2ccc(OC)cc2)cc1,6.17
CHEMBL4575730,Clc1ccc(-c2nc(NC3CCN(Cc4ccccc4)CC3)sc2-c2ccc(Cl)cc2)cc1,5.86
CHEMBL4527770,COc1ccc(-c2nc(NCC3CCN(Cc4ccccc4C(F)(F)F)CC3)sc2-c2ccc(OC)cc2)cc1,6.16
CHEMBL4554666,Fc1ccc(CN2CCC(CNc3nc(-c4ccc(Cl)cc4)c(-c4ccc(Cl)cc4)s3)CC2)c(Cl)c1,6.28
CHEMBL4634465,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccccc1[N+](=O)[O-],4.27
CHEMBL4640945,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccccc1C,4.26
CHEMBL220141,COc1cc(CCC(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,6.87
CHEMBL385269,COc1cc(C(=O)NCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,7.29
CHEMBL381499,O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,10.0
CHEMBL205895,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1N2C,7.89
CHEMBL207777,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CO[C@@H](C1)O2,7.01
CHEMBL205967,CCNC(=O)Oc1ccc2c(c1)[C@]1(C)CO[C@@H](C1)O2,5.62
CHEMBL3338386,C/C=C1\[C@H]2C=C(C)C[C@]1(N[C@H]1OC(=O)C3=C4CC(C)(C)C[C@H]4[C@@H](C)[C@@H](O)C[C@]31OC)c1ccc(=O)[nH]c1C2,6.0
CHEMBL3133436,Cn1ncc2c1-c1c(Br)sc(Br)c1C2NC(=O)CN1CCN(Cc2ccccc2F)CC1,6.06
CHEMBL3133433,Cn1ncc2c1-c1c(Br)sc(Br)c1C2NC(=O)CN1CCN(Cc2ccccc2)CC1,6.48
CHEMBL4751100,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,9.92
CHEMBL3237630,CC[C@H]1[C@H]2OC(=O)[C@](C)(O)[C@H]2[C@]23CC[C@@H]([C@@H]4C[C@@H](C)C(=O)O4)N2CCCC[C@@H]13,5.04
CHEMBL3914364,COc1cccc2c1C=[N+](c1ccc(Cl)cc1)CC2.[Br-],6.5
CHEMBL4779440,Brc1ccc([N+]2=Cc3ccccc3CC2)cc1.[Br-],4.98
CHEMBL4778925,CCc1ccc(NC(=O)COc2c(Cl)cc(Cl)cc2S(=O)(=O)N2CCN(C(=O)c3ccco3)CC2)cc1,5.26
CHEMBL4175384,CC[n+]1cc(C(=O)NC)cc2c(OC(=O)N(C)C)cccc21.[I-],6.5
CHEMBL4787855,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CC[N+](C)(Cc4ccccc4Cl)CC3)cc1)C2.[Cl-],6.32
CHEMBL4787690,O=c1c(-c2ccc(OCCCCN3CCCCC3)cc2)coc2cc(OCCCCN3CCCCC3)cc(O)c12,6.09
CHEMBL4217663,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,10.85
CHEMBL4214707,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,10.68
CHEMBL1459962,Cc1cc(N2CCCCC2)nc2ccccc12,6.08
CHEMBL3604197,CN(C)c1ccc(C(=O)NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1.Cl,7.12
CHEMBL3604198,CN(C)c1ccc(C(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1.Cl,7.11
CHEMBL3786651,COc1cccc2c1CC[C@H](NC(=O)N(C)C)C2,7.7
CHEMBL3819247,COc1ccc2c(c1)C(=O)/C(=C/C1CCN(Cc3ccc4c(c3)OCO4)CC1)C2,4.6
CHEMBL1254269,O=C(CCCCCCCCc1ccccc1)c1c(O)cccc1O,5.88
CHEMBL3827011,CCCCCCCCC1OCc2c[n+](C)c(C)c(OC(=O)N(C)C)c2CO1.[Br-],5.89
CHEMBL3827058,COc1ccc(-c2cc3cc(OCCCN(C)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4)ccc3oc2=O)cc1,6.75
CHEMBL545331,C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21.Cl,5.16
CHEMBL599254,CCN(CC)CCCOc1ccc2c(c1)C(=O)/C(=C/c1ccc(CN(C)Cc3ccccc3)cc1)C2,5.88
CHEMBL4096963,CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,5.43
CHEMBL2160222,CCN(CC)Cc1ccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)cc1,4.0
CHEMBL2047529,CN(CCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC(=O)NCCCCCCCN2CCOCC2)c1,6.92
CHEMBL4129007,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(O[C@@H](C(C)(C)O)[C@@H]3O)[C@@]1(C(=O)C(C)C)C2=O,4.9
CHEMBL4126674,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C1=C2O[C@H](C(C)(C)O)[C@H]1O,4.73
CHEMBL538109,CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N@@+](C)([O-])[C@@H]1N2C.Cl,6.9
CHEMBL50608,Nc1cc(-c2ccccc2)nc2ccccc12,4.94
CHEMBL87550,COc1cc2cc(C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],5.57
CHEMBL88049,COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.96
CHEMBL553212,C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],4.75
CHEMBL4752558,O=C(NO)c1ccc(Nc2ccnc3ccccc23)cc1,6.08
CHEMBL87295,CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],5.59
CHEMBL430403,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2C1c1ccc(C)cc1)CCCC3,6.74
CHEMBL4160280,CN(C)C(=O)Oc1cccc2c1cc(C(=O)NC1CCCCC1)c[n+]2C.[I-],7.7
CHEMBL4755561,Fc1ccc(-c2nnc(Nc3ncccn3)o2)cc1,5.62
CHEMBL4764422,Brc1ccc(-c2nnc(Nc3ncccn3)o2)cc1,5.43
CHEMBL4747146,Brc1cccc(-c2nnc(Nc3ncccn3)o2)c1,5.48
CHEMBL4756451,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCC1CCN(Cc2ccc(F)c(F)c2)CC1,4.37
CHEMBL4796437,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCC1CCN(Cc2ccccc2)CC1,6.14
CHEMBL4753139,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CCN(Cc2ccccc2F)CC1,5.05
CHEMBL4752296,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OC1CCN(Cc2ccccc2)CC1,4.14
CHEMBL423313,COc1cc2cc(C(=O)CCC3CC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC.[Br-],7.1
CHEMBL4797109,Fc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,5.97
CHEMBL4747185,COc1cccc(CNC2CCN(Cc3ccccc3)C2)c1OC,5.36
CHEMBL4778302,Oc1ccccc1CNC1CCN(Cc2ccccc2)C1,5.65
CHEMBL4761542,FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,6.89
CHEMBL4760651,Clc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,6.75
CHEMBL24416,COc1ccc(-c2cc3c(c(=O)o2)C(=O)C2[C@@]4(C)CC[C@H](O)[C@@](C)(CO)C4C[C@H](O)[C@@]2(C)O3)cc1,4.16
CHEMBL277665,C[C@]12CC[C@H](O)[C@@](C)(CO)C1C[C@H](O)[C@@]1(C)Oc3cc(-c4ccccc4)oc(=O)c3C(=O)C21,4.0
CHEMBL11514,CNC(=O)Oc1ccc2c(c1)[C@@H]1[C@@H](CCN1C)CO2,4.79
CHEMBL156861,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,6.75
CHEMBL1651243,O=C(CCC1CCN(Cc2cccc([N+](=O)[O-])c2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,8.54
CHEMBL1651047,C[C@@H]([C@H]1CC[C@@]2(C)[C@@H]3CC[C@@H]4C(=CC3=CC[C@]12C)CC[C@H](N(C)C)C4(C)C)N(C)C,4.1
CHEMBL1651128,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CNCCO2,7.4
CHEMBL1651125,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NC(c1ccccc1)N2,7.48
CHEMBL109869,CC1=CC2Cc3nc4cccc(F)c4c(N)c3C(C1)C2,7.45
CHEMBL107673,CN(C)Cc1ccc(CSCCNc2cc(NCc3cccnc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,6.51
CHEMBL3216422,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2.Cl.Cl.Cl,9.17
CHEMBL1642977,CC(C)(C)c1cc[n+](CCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1.[Br-].[Br-],8.3
